spot_number,x_location,y_location,z_location,row,col
381,452.9644505882353,2556.6082176470586,12.529282235294117,25.0,4.0
382,457.62010466666663,2654.8732,12.712786066666666,26.0,4.0
383,457.4672885714286,2751.4907047619045,13.082272857142858,27.0,4.0
384,452.42792333333335,2865.429925,13.062979770833332,28.0,4.0
385,448.8117148148148,2953.748974074074,13.05538762962963,29.0,4.0
386,450.7880509523809,3050.0326333333333,12.975386952380953,30.0,4.0
387,456.20237782608694,3159.9203434782607,13.053337739130434,31.0,4.0
388,453.7004432608695,3262.718084782609,13.074750141304348,32.0,4.0
389,453.3446916666667,3356.041420833333,13.0830255,33.0,4.0
390,454.349522972973,3451.5385810810812,13.276800202702702,34.0,4.0
391,452.6227022727273,3563.2856681818184,13.337428795454544,35.0,4.0
392,430.95301875,3651.447,13.49809025,36.0,4.0
393,442.418255,3752.0332285714285,13.490968214285715,37.0,4.0
394,453.76951684210525,3860.4278210526313,13.47156097368421,38.0,4.0
395,461.31597086956526,3958.7510739130435,13.478557695652173,39.0,4.0
396,448.1182896875,4065.582965625,13.53338878125,40.0,4.0
397,457.66774000000004,4149.538475862069,13.551036896551725,41.0,4.0
398,456.0515336363636,4256.458866666667,13.536461696969697,42.0,4.0
399,449.26581999999996,4349.670208695652,13.574033913043479,43.0,4.0
400,453.9766423076923,4430.5611,13.694634115384615,44.0,4.0
454,597.23856,974.4130666666666,12.023537333333332,9.0,5.0
455,598.19778,1073.7849999999999,11.923674333333333,10.0,5.0
456,596.18892,1135.0813333333333,11.918625,11.0,5.0
457,599.2949199999999,1247.7315333333333,11.968933333333334,12.0,5.0
458,599.4303666666666,1352.2001,11.906756333333334,13.0,5.0
459,597.6259133333333,1446.3085666666666,12.000302,14.0,5.0
460,598.4113885714286,1552.6916571428571,12.305405142857142,15.0,5.0
461,599.1153601818182,1668.9463127272727,12.772498872727272,16.0,5.0
462,598.5249249999999,1747.733675,12.19935525,17.0,5.0
463,550.0091932,1865.880536,12.60845836,18.0,5.0
464,575.2417750000001,1960.3381086956522,13.216178467391304,19.0,5.0
465,555.7405358064517,2061.751529032258,12.707278903225808,20.0,5.0
466,564.8742486486486,2155.3080297297297,13.900992135135136,21.0,5.0
467,576.2625009859155,2285.7443049295775,17.28695977347418,22.0,5.0
468,573.1242385159817,2357.4835392694067,17.50295683219178,23.0,5.0
469,573.3235798351366,2445.154132560536,15.85407336244204,24.0,5.0
470,571.7149247422681,2547.4535823269516,16.001219003681882,25.0,5.0
471,576.4173677189939,2659.082012228968,16.781224956201214,26.0,5.0
472,588.0004578861789,2753.2278471544714,17.51489006910569,27.0,5.0
473,568.3043796428572,2849.1562950000002,16.944694192857146,28.0,5.0
474,577.5237553333334,2969.7015501587302,16.26126246190476,29.0,5.0
475,556.0557844214876,3048.3873400826446,17.258101196280993,30.0,5.0
476,562.1867202758007,3169.1672572064053,16.11680846663701,31.0,5.0
